Type,Retailprice,Sport,SUV,Wagon,Minivan,Pickup,Engine,Cylinders,Horsepower,CityMPG,HwyMPG,Weight,Wheelbase,Length,Height
AWD,49090,0,0,1,0,0,4.2,8,340,15,21,3936,104,179,70
AWD,49690,0,0,0,0,0,4.2,8,300,17,24,4024,109,193,71
AWD,49995,0,1,0,0,0,6,8,316,10,12,6400,123,190,81
RWD,49995,0,0,0,0,0,4.2,8,294,18,28,3874,115,192,72
RWD,50470,0,0,0,0,0,4.6,8,239,17,25,4474,124,221,78
Other,50595,0,0,0,0,0,4.6,8,300,18,26,4044,115,207,74
RWD,50670,0,0,1,0,0,3.2,6,221,19,27,3966,112,190,71
RWD,51535,1,0,0,0,0,5.7,8,350,18,25,3248,105,180,74
RWD,52120,0,0,0,0,0,3.2,6,349,16,21,3540,107,178,68
AWD,52195,0,1,0,0,0,4.4,8,325,16,22,4824,111,184,74
RWD,52365,1,0,0,0,0,3.2,6,258,18,26,2911,95,170,70
RWD,52545,0,0,0,0,0,4.5,8,340,17,23,3977,113,200,73
AWD,52775,0,1,0,0,0,5.4,8,300,13,18,5969,119,206,80
Other,52795,0,1,0,0,0,5.3,8,295,14,18,5367,116,199,79
RWD,52800,0,0,0,0,0,5,8,302,17,22,3585,107,183,69
AWD,52975,0,0,0,0,1,6,8,345,13,17,5879,130,NA,NA
AWD,54765,0,1,0,0,0,4.7,8,325,13,17,5390,112,193,76
RWD,54995,0,0,0,0,0,4.4,8,325,18,26,3814,114,191,73
RWD,55750,0,0,0,0,0,4.3,8,290,18,25,3990,115,197,72
RWD,56170,1,0,0,0,0,3.2,6,349,17,22,3220,95,158,68
RWD,56595,1,0,0,0,0,3.2,6,333,16,23,3781,108,177,70
AWD,56665,0,1,0,0,0,4.5,8,340,14,18,4950,112,188,76
RWD,57270,0,0,0,0,0,5,8,302,16,20,3815,112,190,71
RWD,59995,0,0,0,0,0,4.2,8,294,18,28,3803,119,200,73
AWD,60670,0,0,1,0,0,5,8,302,16,24,4230,112,190,71
RWD,63120,0,0,0,0,0,4.2,8,390,17,24,4046,115,192,72
RWD,63200,1,0,0,0,0,4.3,8,300,18,23,3840,103,178,72
AWD,64800,0,1,0,0,0,4.7,8,235,13,17,5590,112,193,76
Other,65000,0,0,0,0,0,4.2,8,335,NA,NA,5194,118,204,75
RWD,68995,0,0,0,0,0,4.2,8,294,18,28,3803,119,200,73
AWD,69190,0,0,0,0,0,4.2,8,330,17,24,4399,121,204,75
RWD,69195,0,0,0,0,0,4.4,8,325,18,26,4376,118,198,75
RWD,69995,1,0,0,0,0,4.2,8,294,18,26,3779,102,187,71
AWD,72250,0,1,0,0,0,4.4,8,282,12,16,5379,113,195,76
RWD,73195,0,0,0,0,0,4.4,8,325,18,26,4464,123,204,75
RWD,74320,0,0,0,0,0,4.3,8,275,18,26,4160,122,203,73
RWD,74995,0,0,0,0,0,4.2,8,390,17,24,3948,119,200,73
RWD,74995,1,0,0,0,0,4.2,8,294,18,26,3980,102,187,71
Other,75000,0,0,0,0,0,6,12,420,NA,NA,5399,118,204,75
RWD,76200,1,0,0,0,0,4.6,8,320,17,25,3647,106,178,72
RWD,76765,1,0,0,0,0,3.6,6,315,18,26,3119,93,175,70
AWD,76870,0,1,0,0,0,5,8,292,13,14,5423,112,186,71
RWD,79165,1,0,0,0,0,3.6,6,315,18,26,3135,93,175,70
RWD,81795,1,0,0,0,0,8.3,10,500,NA,NA,3410,99,176,75
RWD,81995,1,0,0,0,0,4.2,8,390,16,23,3865,102,187,71
AWD,84165,1,0,0,0,0,3.6,6,315,17,24,3240,93,175,72
Other,84600,1,0,0,0,0,4.2,8,450,15,22,4024,109,191,78
AWD,86970,0,0,0,0,0,5,8,302,16,24,4390,122,203,73
RWD,86995,1,0,0,0,0,4.2,8,390,16,23,4042,102,187,71
RWD,89765,1,0,0,0,0,3.2,6,290,17,24,3153,100,174,71
RWD,90520,1,0,0,0,0,5,8,302,16,23,4065,101,179,72
RWD,94820,0,0,0,0,0,5,8,302,16,24,4085,114,196,73
RWD,121770,1,0,0,0,0,5.5,8,493,14,21,4235,101,179,72
RWD,126670,1,0,0,0,0,5.5,12,493,13,19,4429,101,179,72
RWD,128420,0,0,0,0,0,5.5,12,493,13,19,4473,114,196,73
RWD,192465,1,0,0,0,0,3.6,6,477,17,24,3131,93,175,72
